Tipe,Topik,Angka,Angka Caleg,Angka Pemenang
Caleg,Anggota Legislatif,600,600,
Caleg,Pembangunan Daerah,824,824,
Caleg,Pertumbuhan Ekonomi,1328,1328,
Caleg,Aspirasi Masyarakat,1392,1392,
Caleg,Pemilihan Umum,432,432,
Pemenang,Anggota Legislatif,9,,9
Pemenang,Pembangunan Daerah,18,,18
Pemenang,Pertumbuhan Ekonomi,28,,28
Pemenang,Aspirasi Masyarakat,13,,13
Pemenang,Pemilihan Umum,22,,22
