Tipe,Topik,Angka,Angka Caleg,Angka Pemenang
Caleg,Isu Pendidikan,1238,1238,
Caleg,Perekonomian Masyarakat,1380,1380,
Caleg,Kesejahteraan Rakyat,1136,1136,
Pemenang,Isu Pendidikan,18,,18
Pemenang,Perekonomian Masyarakat,23,,23
Pemenang,Kesejahteraan Rakyat,20,,20
